Setting	State	Comment
Notifications		
Disable context menus in the Start Menu	Enabled	No
Force Start to be either full screen size or menu size	Enabled	No
Remove and prevent access to the Shut Down, Restart, Sleep, and Hibernate commands	Enabled	No
Remove "Recently added" list from Start Menu	Enabled	No
Start Layout	Enabled	No
Remove frequent programs list from the Start Menu	Enabled	No
Remove All Programs list from the Start menu	Enabled	No
Do not keep history of recently opened documents	Enabled	No
Pin Apps to Start when installed	Disabled	No
